No articulo,Articulo,Palabra,Tipo entidad
0,0211-699501013259,la,o
0,0211-699501013259,albumina,i
0,0211-699501013259,plasmatica,i
0,0211-699501013259,La,o
0,0211-699501013259,interpretacion,o
0,0211-699501013259,de,o
0,0211-699501013259,los,o
0,0211-699501013259,niveles,i
0,0211-699501013259,de,i
0,0211-699501013259,tHcy,i
0,0211-699501013259,debe,o
0,0211-699501013259,tener,o
0,0211-699501013259,en,o
0,0211-699501013259,cuenta,o
0,0211-699501013259,la,o
0,0211-699501013259,concentracion,i
0,0211-699501013259,de,i
0,0211-699501013259,albumina,i
1,0211-699501013259,Efecto,o
1,0211-699501013259,de,o
1,0211-699501013259,la,o
1,0211-699501013259,suplementacion,i
1,0211-699501013259,con,o
1,0211-699501013259,acido,i
1,0211-699501013259,folico,i
1,0211-699501013259,sobre,o
1,0211-699501013259,los,o
1,0211-699501013259,niveles,i
1,0211-699501013259,de,i
1,0211-699501013259,homocisteina,i
1,0211-699501013259,total,o
1,0211-699501013259,en,o
1,0211-699501013259,pacientes,o
1,0211-699501013259,en,o
1,0211-699501013259,hemodialisis,i
1,0211-699501013259,La,o
1,0211-699501013259,hiperhomocisteinemia,i
1,0211-699501013259,es,o
1,0211-699501013259,un,o
1,0211-699501013259,marcador,o
1,0211-699501013259,de,o
1,0211-699501013259,riesgo,o
1,0211-699501013259,independiente,o
1,0211-699501013259,de,o
1,0211-699501013259,morbimortalidad,o
1,0211-699501013259,cardiovascular,i
1,0211-699501013259,Hemos,o
1,0211-699501013259,intentado,o
1,0211-699501013259,prospectivamente,o
1,0211-699501013259,reducir,o
1,0211-699501013259,los,o
1,0211-699501013259,niveles,i
1,0211-699501013259,de,i
1,0211-699501013259,homocisteina,i
1,0211-699501013259,total,o
1,0211-699501013259,tHcy,i
1,0211-699501013259,mediante,o
1,0211-699501013259,suplemento,o
1,0211-699501013259,con,o
1,0211-699501013259,acido,i
1,0211-699501013259,folico,i
1,0211-699501013259,y,o
1,0211-699501013259,vitamina,i
1,0211-699501013259,B6,i
1,0211-699501013259,pp,i
1,0211-699501013259,valorando,o
1,0211-699501013259,su,o
1,0211-699501013259,posible,o
1,0211-699501013259,correlacion,o
1,0211-699501013259,con,o
1,0211-699501013259,dosis,o
1,0211-699501013259,de,o
1,0211-699501013259,dialisis,i
1,0211-699501013259,funcion,i
1,0211-699501013259,residual,i
1,0211-699501013259,y,o
1,0211-699501013259,parametros,o
1,0211-699501013259,nutricionales,o
1,0211-699501013259,Metodos,o
1,0211-699501013259,Todos,o
1,0211-699501013259,los,o
1,0211-699501013259,pacientes,o
1,0211-699501013259,en,o
1,0211-699501013259,hemodialisis,i
1,0211-699501013259,al,o
1,0211-699501013259,comienzo,o
1,0211-699501013259,del,o
1,0211-699501013259,estudio,o
1,0211-699501013259,que,o
1,0211-699501013259,no,o
1,0211-699501013259,recibian,o
1,0211-699501013259,acido,i
1,0211-699501013259,folico,i
1,0211-699501013259,ni,o
1,0211-699501013259,vitamina,i
1,0211-699501013259,B6,i
1,0211-699501013259,asi,o
1,0211-699501013259,como,o
1,0211-699501013259,los,o
1,0211-699501013259,incorporados,o
1,0211-699501013259,posteriormente,o
1,0211-699501013259,a,o
1,0211-699501013259,partir,o
1,0211-699501013259,de,o
1,0211-699501013259,su,o
1,0211-699501013259,tercer,o
1,0211-699501013259,mes,o
1,0211-699501013259,en,o
1,0211-699501013259,hemodialisis,i
1,0211-699501013259,recibieron,o
1,0211-699501013259,5,o
1,0211-699501013259,mg,o
1,0211-699501013259,orales,o
1,0211-699501013259,de,o
1,0211-699501013259,acido,i
1,0211-699501013259,folico,i
1,0211-699501013259,cada,o
1,0211-699501013259,48,o
1,0211-699501013259,horas,o
1,0211-699501013259,y,o
1,0211-699501013259,40,o
1,0211-699501013259,mg,o
1,0211-699501013259,orales,o
1,0211-699501013259,de,o
1,0211-699501013259,vitamina,i
1,0211-699501013259,B6,i
1,0211-699501013259,cada,o
1,0211-699501013259,semana,o
1,0211-699501013259,Se,o
1,0211-699501013259,determinaron,o
1,0211-699501013259,al,o
1,0211-699501013259,comienzo,o
1,0211-699501013259,del,o
1,0211-699501013259,estudio,o
1,0211-699501013259,y,o
1,0211-699501013259,cada,o
1,0211-699501013259,2,o
1,0211-699501013259,meses,o
1,0211-699501013259,niveles,i
1,0211-699501013259,de,i
1,0211-699501013259,folato,i
1,0211-699501013259,vitamina,i
1,0211-699501013259,B12,i
1,0211-699501013259,inmunoensayo,i
1,0211-699501013259,albumina,i
1,0211-699501013259,y,o
1,0211-699501013259,cinetica,o
1,0211-699501013259,de,o
1,0211-699501013259,la,o
1,0211-699501013259,urea,i
1,0211-699501013259,KTV,o
1,0211-699501013259,KRU,o
1,0211-699501013259,PCRn,o
1,0211-699501013259,y,o
1,0211-699501013259,cada,o
1,0211-699501013259,6,o
1,0211-699501013259,meses,o
1,0211-699501013259,tHcy,i
1,0211-699501013259,HPLC,i
1,0211-699501013259,y,o
1,0211-699501013259,pp,i
1,0211-699501013259,RIA,i
1,0211-699501013259,Resultados,o
1,0211-699501013259,80,o
1,0211-699501013259,pacientes,o
1,0211-699501013259,fueron,o
1,0211-699501013259,incluidos,o
1,0211-699501013259,en,o
1,0211-699501013259,el,o
1,0211-699501013259,estudio,o
1,0211-699501013259,basal,o
1,0211-699501013259,con,o
1,0211-699501013259,una,o
1,0211-699501013259,prevalencia,o
1,0211-699501013259,de,o
1,0211-699501013259,hiperhomocisteinemia,i
1,0211-699501013259,del,o
1,0211-699501013259,844,o
1,0211-699501013259,deficit,i
1,0211-699501013259,de,i
1,0211-699501013259,pp,i
1,0211-699501013259,en,o
1,0211-699501013259,el,o
1,0211-699501013259,32,o
1,0211-699501013259,y,o
1,0211-699501013259,folato,i
1,0211-699501013259,en,o
1,0211-699501013259,el,o
1,0211-699501013259,rango,o
1,0211-699501013259,normal,o
1,0211-699501013259,bajo,o
1,0211-699501013259,los,o
1,0211-699501013259,niveles,i
1,0211-699501013259,de,i
1,0211-699501013259,tHcy,i
1,0211-699501013259,se,o
1,0211-699501013259,correlacionaban,o
1,0211-699501013259,inversamente,o
1,0211-699501013259,con,o
1,0211-699501013259,los,o
1,0211-699501013259,del,o
1,0211-699501013259,folato,i
1,0211-699501013259,r,o
1,0211-699501013259,0336,o
1,0211-699501013259,p,o
1,0211-699501013259,001,o
1,0211-699501013259,pero,o
1,0211-699501013259,no,o
1,0211-699501013259,con,o
1,0211-699501013259,pp,i
1,0211-699501013259,B12,i
1,0211-699501013259,edad,o
1,0211-699501013259,albumina,i
1,0211-699501013259,KTV,o
1,0211-699501013259,KRU,o
1,0211-699501013259,PCRn,o
1,0211-699501013259,Cincuenta,o
1,0211-699501013259,y,o
1,0211-699501013259,ocho,o
1,0211-699501013259,pacientes,o
1,0211-699501013259,recibieron,o
1,0211-699501013259,seis,o
1,0211-699501013259,meses,o
1,0211-699501013259,de,o
1,0211-699501013259,suplementacion,i
1,0211-699501013259,con,o
1,0211-699501013259,normalizacion,o
1,0211-699501013259,del,o
1,0211-699501013259,pp,i
1,0211-699501013259,aumento,o
1,0211-699501013259,del,o
1,0211-699501013259,folato,i
1,0211-699501013259,703,o
1,0211-699501013259,IC,o
1,0211-699501013259,638,o
1,0211-699501013259,795,o
1,0211-699501013259,vs,o
1,0211-699501013259,6181,o
1,0211-699501013259,IC,o
1,0211-699501013259,4447,o
1,0211-699501013259,7811,o
1,0211-699501013259,p,o
1,0211-699501013259,0001,o
1,0211-699501013259,y,o
1,0211-699501013259,descenso,o
1,0211-699501013259,de,o
1,0211-699501013259,la,o
1,0211-699501013259,tHcy,i
1,0211-699501013259,240,o
1,0211-699501013259,IC,o
1,0211-699501013259,213,o
1,0211-699501013259,264,o
1,0211-699501013259,vs,o
1,0211-699501013259,199,o
1,0211-699501013259,IC,o
1,0211-699501013259,175,o
1,0211-699501013259,224,o
1,0211-699501013259,p,o
1,0211-699501013259,005,o
1,0211-699501013259,Han,o
1,0211-699501013259,recibido,o
1,0211-699501013259,suplementacion,i
1,0211-699501013259,durante,o
1,0211-699501013259,12,o
1,0211-699501013259,meses,o
1,0211-699501013259,33,o
1,0211-699501013259,pacientes,o
1,0211-699501013259,pero,o
1,0211-699501013259,a,o
1,0211-699501013259,pesar,o
1,0211-699501013259,de,o
1,0211-699501013259,un,o
1,0211-699501013259,continuo,o
1,0211-699501013259,aumento,o
1,0211-699501013259,del,o
1,0211-699501013259,folato,i
1,0211-699501013259,10078,o
1,0211-699501013259,IC,o
1,0211-699501013259,7481,o
1,0211-699501013259,12674,o
1,0211-699501013259,p,o
1,0211-699501013259,0001,o
1,0211-699501013259,solo,o
1,0211-699501013259,3,o
1,0211-699501013259,pacientes,o
1,0211-699501013259,presentan,o
1,0211-699501013259,niveles,o
1,0211-699501013259,normales,o
1,0211-699501013259,de,o
1,0211-699501013259,tHcy,i
1,0211-699501013259,correlacionandose,o
1,0211-699501013259,directamente,o
1,0211-699501013259,tHcy,i
1,0211-699501013259,con,o
1,0211-699501013259,la,o
1,0211-699501013259,albumina,i
1,0211-699501013259,r,o
1,0211-699501013259,056,o
1,0211-699501013259,p,o
1,0211-699501013259,0001,o
1,0211-699501013259,que,o
1,0211-699501013259,se,o
1,0211-699501013259,elevo,o
1,0211-699501013259,con,o
1,0211-699501013259,respecto,o
1,0211-699501013259,al,o
1,0211-699501013259,inicio,o
1,0211-699501013259,337,o
1,0211-699501013259,IC,o
1,0211-699501013259,327,o
1,0211-699501013259,346,o
1,0211-699501013259,vs,o
1,0211-699501013259,350,o
1,0211-699501013259,IC,o
1,0211-699501013259,337,o
1,0211-699501013259,363,o
1,0211-699501013259,p,o
1,0211-699501013259,005,o
1,0211-699501013259,Conclusion,o
1,0211-699501013259,Tras,o
1,0211-699501013259,suplementacion,i
1,0211-699501013259,con,o
1,0211-699501013259,acido,i
1,0211-699501013259,folico,i
1,0211-699501013259,y,o
1,0211-699501013259,vitamina,i
1,0211-699501013259,B6,i
1,0211-699501013259,aunque,o
1,0211-699501013259,inicialmente,o
1,0211-699501013259,se,o
1,0211-699501013259,reduce,o
1,0211-699501013259,la,o
1,0211-699501013259,tHcy,i
1,0211-699501013259,esta,o
1,0211-699501013259,respuesta,o
1,0211-699501013259,se,o
1,0211-699501013259,hace,o
1,0211-699501013259,refractaria,o
1,0211-699501013259,correlacionandose,o
1,0211-699501013259,directamente,o
1,0211-699501013259,la,o
1,0211-699501013259,tHcy,i
1,0211-699501013259,con,o
1,0211-699501013259,la,o
1,0211-699501013259,albumina,i
1,0211-699501013259,plasmatica,i
1,0211-699501013259,La,o
1,0211-699501013259,interpretacion,o
1,0211-699501013259,de,o
1,0211-699501013259,los,o
1,0211-699501013259,niveles,i
1,0211-699501013259,de,i
1,0211-699501013259,tHcy,i
1,0211-699501013259,debe,o
1,0211-699501013259,tener,o
1,0211-699501013259,en,o
1,0211-699501013259,cuenta,o
1,0211-699501013259,la,o
1,0211-699501013259,concentracion,i
1,0211-699501013259,de,i
1,0211-699501013259,albumina,i
2,0211-699501013259,Efecto,o
2,0211-699501013259,de,o
2,0211-699501013259,la,o
2,0211-699501013259,suplementacion,i
2,0211-699501013259,con,o
2,0211-699501013259,acido,i
2,0211-699501013259,folico,i
2,0211-699501013259,sobre,o
2,0211-699501013259,los,o
2,0211-699501013259,niveles,i
2,0211-699501013259,de,i
2,0211-699501013259,homocisteina,i
2,0211-699501013259,total,o
2,0211-699501013259,en,o
2,0211-699501013259,pacientes,o
2,0211-699501013259,en,o
2,0211-699501013259,hemodialisis,i
2,0211-699501013259,La,o
2,0211-699501013259,hiperhomocisteinemia,i
2,0211-699501013259,es,o
2,0211-699501013259,un,o
2,0211-699501013259,marcador,o
2,0211-699501013259,de,o
2,0211-699501013259,riesgo,o
2,0211-699501013259,independiente,o
2,0211-699501013259,de,o
2,0211-699501013259,morbimortalidad,o
2,0211-699501013259,cardiovascular,i
2,0211-699501013259,Hemos,o
2,0211-699501013259,intentado,o
2,0211-699501013259,prospectivamente,o
2,0211-699501013259,reducir,o
2,0211-699501013259,los,o
2,0211-699501013259,niveles,i
2,0211-699501013259,de,i
2,0211-699501013259,homocisteina,i
2,0211-699501013259,total,o
2,0211-699501013259,tHcy,i
2,0211-699501013259,mediante,o
2,0211-699501013259,suplemento,o
2,0211-699501013259,con,o
2,0211-699501013259,acido,i
2,0211-699501013259,folico,i
2,0211-699501013259,y,o
2,0211-699501013259,vitamina,i
2,0211-699501013259,B6,i
2,0211-699501013259,pp,i
2,0211-699501013259,valorando,o
2,0211-699501013259,su,o
2,0211-699501013259,posible,o
2,0211-699501013259,correlacion,o
2,0211-699501013259,con,o
2,0211-699501013259,dosis,o
2,0211-699501013259,de,o
2,0211-699501013259,dialisis,i
2,0211-699501013259,funcion,i
2,0211-699501013259,residual,i
2,0211-699501013259,y,o
2,0211-699501013259,parametros,o
2,0211-699501013259,nutricionales,o
2,0211-699501013259,Metodos,o
2,0211-699501013259,Todos,o
2,0211-699501013259,los,o
2,0211-699501013259,pacientes,o
2,0211-699501013259,en,o
2,0211-699501013259,hemodialisis,i
2,0211-699501013259,al,o
2,0211-699501013259,comienzo,o
2,0211-699501013259,del,o
2,0211-699501013259,estudio,o
2,0211-699501013259,que,o
2,0211-699501013259,no,o
2,0211-699501013259,recibian,o
2,0211-699501013259,acido,i
2,0211-699501013259,folico,i
2,0211-699501013259,ni,o
2,0211-699501013259,vitamina,i
2,0211-699501013259,B6,i
2,0211-699501013259,asi,o
2,0211-699501013259,como,o
2,0211-699501013259,los,o
2,0211-699501013259,incorporados,o
2,0211-699501013259,posteriormente,o
2,0211-699501013259,a,o
2,0211-699501013259,partir,o
2,0211-699501013259,de,o
2,0211-699501013259,su,o
2,0211-699501013259,tercer,o
2,0211-699501013259,mes,o
2,0211-699501013259,en,o
2,0211-699501013259,hemodialisis,i
2,0211-699501013259,recibieron,o
2,0211-699501013259,5,o
2,0211-699501013259,mg,o
2,0211-699501013259,orales,o
2,0211-699501013259,de,o
2,0211-699501013259,acido,i
2,0211-699501013259,folico,i
2,0211-699501013259,cada,o
2,0211-699501013259,48,o
2,0211-699501013259,horas,o
2,0211-699501013259,y,o
2,0211-699501013259,40,o
2,0211-699501013259,mg,o
2,0211-699501013259,orales,o
2,0211-699501013259,de,o
2,0211-699501013259,vitamina,i
2,0211-699501013259,B6,i
2,0211-699501013259,cada,o
2,0211-699501013259,semana,o
2,0211-699501013259,Se,o
2,0211-699501013259,determinaron,o
2,0211-699501013259,al,o
2,0211-699501013259,comienzo,o
2,0211-699501013259,del,o
2,0211-699501013259,estudio,o
2,0211-699501013259,y,o
2,0211-699501013259,cada,o
2,0211-699501013259,2,o
2,0211-699501013259,meses,o
2,0211-699501013259,niveles,i
2,0211-699501013259,de,i
2,0211-699501013259,folato,i
2,0211-699501013259,vitamina,i
2,0211-699501013259,B12,i
2,0211-699501013259,inmunoensayo,i
2,0211-699501013259,albumina,i
2,0211-699501013259,y,o
2,0211-699501013259,cinetica,o
2,0211-699501013259,de,o
2,0211-699501013259,la,o
2,0211-699501013259,urea,i
2,0211-699501013259,KTV,o
2,0211-699501013259,KRU,o
2,0211-699501013259,PCRn,o
2,0211-699501013259,y,o
2,0211-699501013259,cada,o
2,0211-699501013259,6,o
2,0211-699501013259,meses,o
2,0211-699501013259,tHcy,i
2,0211-699501013259,HPLC,i
2,0211-699501013259,y,o
2,0211-699501013259,pp,i
2,0211-699501013259,RIA,i
2,0211-699501013259,Resultados,o
2,0211-699501013259,80,o
2,0211-699501013259,pacientes,o
2,0211-699501013259,fueron,o
2,0211-699501013259,incluidos,o
2,0211-699501013259,en,o
2,0211-699501013259,el,o
2,0211-699501013259,estudio,o
2,0211-699501013259,basal,o
2,0211-699501013259,con,o
2,0211-699501013259,una,o
2,0211-699501013259,prevalencia,o
2,0211-699501013259,de,o
2,0211-699501013259,hiperhomocisteinemia,i
2,0211-699501013259,del,o
2,0211-699501013259,844,o
2,0211-699501013259,deficit,i
2,0211-699501013259,de,i
2,0211-699501013259,pp,i
2,0211-699501013259,en,o
2,0211-699501013259,el,o
2,0211-699501013259,32,o
2,0211-699501013259,y,o
2,0211-699501013259,folato,i
2,0211-699501013259,en,o
2,0211-699501013259,el,o
2,0211-699501013259,rango,o
2,0211-699501013259,normal,o
2,0211-699501013259,bajo,o
2,0211-699501013259,los,o
2,0211-699501013259,niveles,i
2,0211-699501013259,de,i
2,0211-699501013259,tHcy,i
2,0211-699501013259,se,o
2,0211-699501013259,correlacionaban,o
2,0211-699501013259,inversamente,o
2,0211-699501013259,con,o
2,0211-699501013259,los,o
2,0211-699501013259,del,o
2,0211-699501013259,folato,i
2,0211-699501013259,r,o
2,0211-699501013259,0336,o
2,0211-699501013259,p,o
2,0211-699501013259,001,o
2,0211-699501013259,pero,o
2,0211-699501013259,no,o
2,0211-699501013259,con,o
2,0211-699501013259,pp,i
2,0211-699501013259,B12,i
2,0211-699501013259,edad,o
2,0211-699501013259,albumina,i
2,0211-699501013259,KTV,o
2,0211-699501013259,KRU,o
2,0211-699501013259,PCRn,o
2,0211-699501013259,Cincuenta,o
2,0211-699501013259,y,o
2,0211-699501013259,ocho,o
2,0211-699501013259,pacientes,o
2,0211-699501013259,recibieron,o
2,0211-699501013259,seis,o
2,0211-699501013259,meses,o
2,0211-699501013259,de,o
2,0211-699501013259,suplementacion,i
2,0211-699501013259,con,o
2,0211-699501013259,normalizacion,o
2,0211-699501013259,del,o
2,0211-699501013259,pp,i
2,0211-699501013259,aumento,o
2,0211-699501013259,del,o
2,0211-699501013259,folato,i
2,0211-699501013259,703,o
2,0211-699501013259,IC,o
2,0211-699501013259,638,o
2,0211-699501013259,795,o
2,0211-699501013259,vs,o
2,0211-699501013259,6181,o
2,0211-699501013259,IC,o
2,0211-699501013259,4447,o
2,0211-699501013259,7811,o
2,0211-699501013259,p,o
